Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country,Shell_Cat
Brazil,3080596.0,Cryptocurrency,2023-06-07 03:00:00,Person_44,Finance,India,False,Illegal,1,6,Bank_76,Bahamas,3 or more
UK,3675174.0,Stocks Transfer,2023-06-07 04:00:00,Person_2711,Oil & Gas,USA,False,Illegal,8,1,Bank_265,Luxembourg,Less than 3
Singapore,4193508.0,Offshore Transfer,2023-06-07 05:00:00,Person_6306,Arms Trade,UK,False,Legal,6,7,Bank_312,Switzerland,3 or more
South Africa,1386087.0,Stocks Transfer,2023-06-07 06:00:00,Person_3030,Casinos,UAE,False,Legal,4,1,Bank_220,Switzerland,Less than 3
China,165322.0,Property Purchase,2023-06-07 07:00:00,Person_6538,Finance,Switzerland,False,Illegal,10,1,Bank_484,Panama,Less than 3
UAE,1984836.0,Offshore Transfer,2023-06-07 08:00:00,Person_7019,Construction,Singapore,False,Illegal,7,9,Bank_115,Singapore,3 or more
Switzerland,3107027.0,Cash Withdrawal,2023-06-07 09:00:00,Person_4573,Luxury Goods,India,True,Illegal,9,2,Bank_304,Singapore,Less than 3
South Africa,3181622.0,Cryptocurrency,2023-06-07 10:00:00,Person_7872,Finance,Singapore,True,Illegal,7,1,Bank_222,Switzerland,Less than 3
Switzerland,4479990.0,Offshore Transfer,2023-06-07 11:00:00,Person_4530,Real Estate,Russia,False,Illegal,6,7,Bank_438,Luxembourg,3 or more
Singapore,1040386.0,Cryptocurrency,2023-06-07 12:00:00,Person_7909,Casinos,Singapore,False,Legal,7,3,Bank_322,Luxembourg,3 or more
Singapore,1819989.0,Stocks Transfer,2023-06-07 13:00:00,Person_4569,Casinos,China,False,Illegal,7,6,Bank_8,Luxembourg,3 or more
UAE,4157245.0,Property Purchase,2023-06-07 14:00:00,Person_7088,Finance,USA,False,Illegal,10,4,Bank_383,Singapore,3 or more
USA,4732904.0,Cryptocurrency,2023-06-07 15:00:00,Person_6883,Construction,India,False,Illegal,4,2,Bank_165,Panama,Less than 3
China,294755.0,Cryptocurrency,2023-06-07 16:00:00,Person_7530,Finance,UAE,False,Illegal,2,9,Bank_253,Luxembourg,3 or more
India,1338450.0,Property Purchase,2023-06-07 17:00:00,Person_6837,Finance,Switzerland,False,Legal,10,7,Bank_48,Panama,3 or more
South Africa,329887.0,Cryptocurrency,2023-06-07 18:00:00,Person_2130,Oil & Gas,USA,False,Illegal,7,3,Bank_46,Cayman Islands,3 or more
India,4897701.0,Cryptocurrency,2023-06-07 19:00:00,Person_1548,Oil & Gas,South Africa,False,Illegal,3,9,Bank_305,Singapore,3 or more
Switzerland,117079.0,Offshore Transfer,2023-06-07 20:00:00,Person_9943,Casinos,China,False,Illegal,3,3,Bank_386,Bahamas,3 or more
Brazil,2418275.0,Stocks Transfer,2023-06-07 21:00:00,Person_9403,Luxury Goods,China,True,Legal,9,7,Bank_195,Luxembourg,3 or more
UK,4547305.0,Property Purchase,2023-06-07 22:00:00,Person_3170,Arms Trade,UK,False,Legal,9,0,Bank_260,Singapore,Less than 3
India,1799641.0,Cash Withdrawal,2023-06-07 23:00:00,Person_5557,Construction,India,False,Illegal,6,1,Bank_120,Singapore,Less than 3
China,4790554.0,Cryptocurrency,2023-06-08 00:00:00,Person_4755,Oil & Gas,USA,True,Illegal,6,2,Bank_184,Singapore,Less than 3
Singapore,1795643.0,Cryptocurrency,2023-06-08 01:00:00,Person_4715,Arms Trade,UK,True,Illegal,10,3,Bank_116,Bahamas,3 or more
Brazil,3546692.0,Offshore Transfer,2023-06-08 02:00:00,Person_2116,Construction,UK,False,Illegal,10,5,Bank_17,Luxembourg,3 or more
USA,409625.0,Property Purchase,2023-06-08 03:00:00,Person_6361,Arms Trade,Russia,False,Illegal,3,4,Bank_249,Singapore,3 or more
USA,1308688.0,Cryptocurrency,2023-06-08 04:00:00,Person_9209,Oil & Gas,China,False,Illegal,1,0,Bank_184,Switzerland,Less than 3
Brazil,1975864.0,Cryptocurrency,2023-06-08 05:00:00,Person_6576,Luxury Goods,Singapore,True,Illegal,2,8,Bank_455,Panama,3 or more
India,498082.0,Cryptocurrency,2023-06-08 06:00:00,Person_1861,Casinos,UAE,False,Illegal,6,5,Bank_231,Switzerland,3 or more
Russia,4958461.0,Stocks Transfer,2023-06-08 07:00:00,Person_7922,Luxury Goods,UAE,False,Illegal,5,4,Bank_159,Cayman Islands,3 or more
USA,306852.0,Stocks Transfer,2023-06-08 08:00:00,Person_4144,Arms Trade,UK,False,Legal,8,0,Bank_352,Switzerland,Less than 3
Switzerland,681632.0,Offshore Transfer,2023-06-08 09:00:00,Person_5104,Casinos,USA,False,Illegal,9,7,Bank_116,Panama,3 or more
Switzerland,4311980.0,Offshore Transfer,2023-06-08 10:00:00,Person_4877,Luxury Goods,South Africa,False,Illegal,10,6,Bank_34,Bahamas,3 or more
UAE,1249193.0,Cryptocurrency,2023-06-08 11:00:00,Person_8252,Luxury Goods,USA,False,Illegal,1,4,Bank_175,Luxembourg,3 or more
Switzerland,4669020.0,Property Purchase,2023-06-08 12:00:00,Person_6661,Luxury Goods,India,False,Illegal,4,1,Bank_288,Switzerland,Less than 3
Russia,3871539.0,Property Purchase,2023-06-08 13:00:00,Person_3500,Casinos,South Africa,True,Illegal,7,2,Bank_101,Cayman Islands,Less than 3
Russia,2905311.0,Stocks Transfer,2023-06-08 14:00:00,Person_4777,Arms Trade,Brazil,False,Illegal,10,0,Bank_267,Singapore,Less than 3
Russia,1191790.0,Cryptocurrency,2023-06-08 15:00:00,Person_5197,Casinos,USA,True,Illegal,1,0,Bank_124,Singapore,Less than 3
UK,3677633.0,Stocks Transfer,2023-06-08 16:00:00,Person_4954,Real Estate,Switzerland,False,Illegal,2,0,Bank_142,Switzerland,Less than 3
China,2759662.0,Property Purchase,2023-06-08 17:00:00,Person_3488,Oil & Gas,Switzerland,False,Illegal,8,0,Bank_352,Panama,Less than 3
South Africa,719975.0,Property Purchase,2023-06-08 18:00:00,Person_6643,Oil & Gas,UAE,False,Legal,9,9,Bank_128,Cayman Islands,3 or more
Brazil,1465047.0,Stocks Transfer,2023-06-08 19:00:00,Person_1107,Casinos,UK,True,Illegal,8,5,Bank_246,Panama,3 or more
UK,583208.0,Property Purchase,2023-06-08 20:00:00,Person_5245,Finance,USA,False,Illegal,4,4,Bank_132,Luxembourg,3 or more
South Africa,3016925.0,Cryptocurrency,2023-06-08 21:00:00,Person_3711,Casinos,India,False,Illegal,3,6,Bank_65,Singapore,3 or more
China,4879397.0,Cryptocurrency,2023-06-08 22:00:00,Person_5315,Arms Trade,India,False,Illegal,8,3,Bank_164,Bahamas,3 or more
South Africa,3049788.0,Offshore Transfer,2023-06-08 23:00:00,Person_210,Luxury Goods,South Africa,False,Illegal,4,3,Bank_35,Panama,3 or more
India,3796117.0,Property Purchase,2023-06-09 00:00:00,Person_3303,Construction,Switzerland,False,Legal,2,5,Bank_447,Panama,3 or more
Russia,1382578.0,Offshore Transfer,2023-06-09 01:00:00,Person_3041,Oil & Gas,China,False,Legal,4,0,Bank_363,Switzerland,Less than 3
Brazil,2960905.0,Property Purchase,2023-06-09 02:00:00,Person_3366,Luxury Goods,Brazil,False,Illegal,10,0,Bank_302,Luxembourg,Less than 3
China,2597923.0,Property Purchase,2023-06-09 03:00:00,Person_4934,Casinos,South Africa,False,Illegal,8,7,Bank_83,Switzerland,3 or more
Switzerland,4107329.0,Offshore Transfer,2023-06-09 04:00:00,Person_451,Oil & Gas,Singapore,False,Illegal,10,7,Bank_239,Cayman Islands,3 or more
USA,3344312.0,Property Purchase,2023-06-09 05:00:00,Person_5063,Finance,Switzerland,False,Illegal,3,3,Bank_397,Switzerland,3 or more
Brazil,2453322.0,Stocks Transfer,2023-06-09 06:00:00,Person_3796,Finance,China,False,Illegal,9,8,Bank_88,Singapore,3 or more
China,2444240.0,Cryptocurrency,2023-06-09 07:00:00,Person_5991,Finance,Switzerland,False,Illegal,8,5,Bank_100,Panama,3 or more
Singapore,2226067.0,Property Purchase,2023-06-09 08:00:00,Person_2557,Luxury Goods,South Africa,True,Illegal,4,0,Bank_157,Singapore,Less than 3
Russia,4490684.0,Cryptocurrency,2023-06-09 09:00:00,Person_559,Oil & Gas,India,True,Illegal,1,0,Bank_409,Luxembourg,Less than 3
India,1148684.0,Cash Withdrawal,2023-06-09 10:00:00,Person_4671,Luxury Goods,USA,True,Illegal,5,6,Bank_192,Switzerland,3 or more
Singapore,4568430.0,Cash Withdrawal,2023-06-09 11:00:00,Person_6060,Casinos,South Africa,False,Illegal,6,5,Bank_108,Panama,3 or more
India,4651204.0,Property Purchase,2023-06-09 12:00:00,Person_3380,Arms Trade,China,False,Illegal,2,3,Bank_246,Panama,3 or more
India,3158863.0,Cryptocurrency,2023-06-09 13:00:00,Person_9850,Arms Trade,South Africa,False,Illegal,10,5,Bank_259,Bahamas,3 or more
UK,2528428.0,Property Purchase,2023-06-09 14:00:00,Person_8680,Casinos,USA,False,Legal,7,2,Bank_440,Panama,Less than 3
Singapore,10259.0,Property Purchase,2023-06-09 15:00:00,Person_1649,Oil & Gas,South Africa,False,Illegal,10,7,Bank_266,Switzerland,3 or more
Russia,3232124.0,Cryptocurrency,2023-06-09 16:00:00,Person_7958,Oil & Gas,USA,False,Illegal,4,4,Bank_22,Luxembourg,3 or more
UK,4336998.0,Stocks Transfer,2023-06-09 17:00:00,Person_8312,Arms Trade,South Africa,False,Legal,9,0,Bank_383,Cayman Islands,Less than 3
USA,2450718.0,Offshore Transfer,2023-06-09 18:00:00,Person_2617,Arms Trade,Singapore,False,Illegal,1,8,Bank_350,Cayman Islands,3 or more
India,1360711.0,Offshore Transfer,2023-06-09 19:00:00,Person_6151,Oil & Gas,South Africa,False,Illegal,10,0,Bank_240,Switzerland,Less than 3
India,985527.0,Property Purchase,2023-06-09 20:00:00,Person_4077,Luxury Goods,Singapore,False,Illegal,9,2,Bank_227,Cayman Islands,Less than 3
Russia,2793657.0,Property Purchase,2023-06-09 21:00:00,Person_6814,Casinos,Singapore,False,Illegal,9,7,Bank_394,Luxembourg,3 or more
USA,2845814.0,Property Purchase,2023-06-09 22:00:00,Person_4485,Construction,South Africa,False,Illegal,2,4,Bank_432,Switzerland,3 or more
India,1842203.0,Cash Withdrawal,2023-06-09 23:00:00,Person_7819,Arms Trade,South Africa,False,Illegal,9,1,Bank_490,Bahamas,Less than 3
USA,4887248.0,Offshore Transfer,2023-06-10 00:00:00,Person_2041,Arms Trade,China,False,Illegal,1,4,Bank_388,Panama,3 or more
UK,1048025.0,Offshore Transfer,2023-06-10 01:00:00,Person_4377,Oil & Gas,India,False,Illegal,7,3,Bank_30,Luxembourg,3 or more
India,403568.0,Stocks Transfer,2023-06-10 02:00:00,Person_6311,Real Estate,UK,False,Legal,7,5,Bank_403,Bahamas,3 or more
USA,4698314.0,Property Purchase,2023-06-10 03:00:00,Person_9102,Casinos,South Africa,True,Legal,6,3,Bank_398,Singapore,3 or more
South Africa,4143003.0,Property Purchase,2023-06-10 04:00:00,Person_1235,Oil & Gas,UK,False,Illegal,10,6,Bank_409,Switzerland,3 or more
UK,3701669.0,Offshore Transfer,2023-06-10 05:00:00,Person_211,Arms Trade,Russia,False,Legal,4,9,Bank_158,Luxembourg,3 or more
USA,3709623.0,Cash Withdrawal,2023-06-10 06:00:00,Person_1941,Luxury Goods,Switzerland,False,Legal,6,2,Bank_234,Bahamas,Less than 3
UK,4978083.0,Cryptocurrency,2023-06-10 07:00:00,Person_5725,Oil & Gas,Russia,False,Illegal,6,0,Bank_401,Switzerland,Less than 3
China,3047287.0,Stocks Transfer,2023-06-10 08:00:00,Person_694,Oil & Gas,Russia,True,Legal,3,1,Bank_197,Luxembourg,Less than 3
Singapore,227430.0,Property Purchase,2023-06-10 09:00:00,Person_8180,Construction,Switzerland,False,Illegal,2,5,Bank_262,Panama,3 or more
South Africa,1709657.0,Cash Withdrawal,2023-06-10 10:00:00,Person_4340,Oil & Gas,Russia,False,Illegal,2,7,Bank_394,Bahamas,3 or more
Singapore,4119921.0,Property Purchase,2023-06-10 11:00:00,Person_5208,Real Estate,India,False,Legal,2,2,Bank_349,Singapore,Less than 3
Singapore,2066239.0,Stocks Transfer,2023-06-10 12:00:00,Person_2550,Arms Trade,USA,False,Illegal,9,3,Bank_429,Cayman Islands,3 or more
South Africa,2390546.0,Property Purchase,2023-06-10 13:00:00,Person_3517,Finance,South Africa,False,Illegal,3,7,Bank_183,Switzerland,3 or more
UAE,3992626.0,Cryptocurrency,2023-06-10 14:00:00,Person_9425,Finance,Switzerland,True,Illegal,4,9,Bank_8,Panama,3 or more
UK,3532517.0,Property Purchase,2023-06-10 15:00:00,Person_1102,Oil & Gas,Russia,False,Illegal,7,6,Bank_322,Panama,3 or more
USA,4463935.0,Offshore Transfer,2023-06-10 16:00:00,Person_758,Real Estate,Brazil,False,Illegal,4,8,Bank_401,Cayman Islands,3 or more
Singapore,3892532.0,Stocks Transfer,2023-06-10 17:00:00,Person_9376,Real Estate,Singapore,False,Illegal,7,7,Bank_459,Switzerland,3 or more
Switzerland,2477999.0,Property Purchase,2023-06-10 18:00:00,Person_6339,Construction,USA,False,Illegal,2,8,Bank_498,Panama,3 or more
Switzerland,3832921.0,Stocks Transfer,2023-06-10 19:00:00,Person_6384,Construction,Switzerland,False,Legal,8,5,Bank_352,Cayman Islands,3 or more
South Africa,4207090.0,Stocks Transfer,2023-06-10 20:00:00,Person_4605,Oil & Gas,Switzerland,True,Illegal,4,3,Bank_287,Cayman Islands,3 or more
UAE,1374484.0,Property Purchase,2023-06-10 21:00:00,Person_7696,Real Estate,UAE,False,Illegal,5,3,Bank_339,Luxembourg,3 or more
Russia,4053905.0,Cash Withdrawal,2023-06-10 22:00:00,Person_6048,Luxury Goods,UK,False,Illegal,10,6,Bank_87,Cayman Islands,3 or more
Singapore,4190705.0,Property Purchase,2023-06-10 23:00:00,Person_674,Luxury Goods,South Africa,True,Illegal,7,7,Bank_172,Bahamas,3 or more
USA,82949.0,Cash Withdrawal,2023-06-11 00:00:00,Person_1634,Construction,India,False,Illegal,6,3,Bank_68,Switzerland,3 or more
Switzerland,3257989.0,Stocks Transfer,2023-06-11 01:00:00,Person_9878,Oil & Gas,India,False,Illegal,5,6,Bank_376,Switzerland,3 or more
Russia,3587602.0,Property Purchase,2023-06-11 02:00:00,Person_3270,Finance,Brazil,False,Legal,2,3,Bank_406,Bahamas,3 or more
Singapore,4236432.0,Offshore Transfer,2023-06-11 03:00:00,Person_4949,Arms Trade,China,True,Legal,9,1,Bank_232,Singapore,Less than 3
Singapore,101161.0,Property Purchase,2023-06-11 04:00:00,Person_9896,Oil & Gas,UAE,False,Illegal,8,6,Bank_224,Panama,3 or more
Switzerland,2088495.0,Cash Withdrawal,2023-06-11 05:00:00,Person_9303,Arms Trade,Switzerland,False,Illegal,9,8,Bank_467,Switzerland,3 or more
UK,2159436.0,Offshore Transfer,2023-06-11 06:00:00,Person_1383,Arms Trade,Brazil,False,Illegal,5,4,Bank_468,Switzerland,3 or more
India,3400736.0,Cryptocurrency,2023-06-11 07:00:00,Person_8332,Arms Trade,UAE,True,Legal,4,7,Bank_261,Panama,3 or more
China,3415857.0,Cryptocurrency,2023-06-11 08:00:00,Person_1792,Arms Trade,Brazil,False,Illegal,7,5,Bank_452,Switzerland,3 or more
Switzerland,3447258.0,Cash Withdrawal,2023-06-11 09:00:00,Person_966,Arms Trade,USA,True,Illegal,6,3,Bank_434,Panama,3 or more
China,4809058.0,Cryptocurrency,2023-06-11 10:00:00,Person_1607,Construction,South Africa,False,Illegal,9,0,Bank_159,Panama,Less than 3
USA,378679.0,Stocks Transfer,2023-06-11 11:00:00,Person_8276,Casinos,South Africa,False,Illegal,1,9,Bank_258,Cayman Islands,3 or more
India,4983376.0,Property Purchase,2023-06-11 12:00:00,Person_2952,Real Estate,USA,False,Legal,4,3,Bank_32,Switzerland,3 or more
South Africa,688081.0,Stocks Transfer,2023-06-11 13:00:00,Person_3567,Construction,UK,False,Illegal,1,8,Bank_472,Bahamas,3 or more
UAE,938241.0,Cryptocurrency,2023-06-11 14:00:00,Person_2791,Real Estate,Singapore,False,Legal,7,5,Bank_102,Switzerland,3 or more
Russia,2789966.0,Cash Withdrawal,2023-06-11 15:00:00,Person_2616,Luxury Goods,UK,False,Legal,6,3,Bank_491,Switzerland,3 or more
USA,4560502.0,Cash Withdrawal,2023-06-11 16:00:00,Person_2725,Real Estate,Russia,False,Illegal,7,2,Bank_207,Bahamas,Less than 3
India,4945775.0,Offshore Transfer,2023-06-11 17:00:00,Person_6619,Finance,UK,False,Illegal,7,5,Bank_390,Cayman Islands,3 or more
USA,1745623.0,Stocks Transfer,2023-06-11 18:00:00,Person_2257,Oil & Gas,Russia,False,Illegal,1,7,Bank_438,Panama,3 or more
Brazil,3439856.0,Cryptocurrency,2023-06-11 19:00:00,Person_1479,Casinos,South Africa,False,Illegal,10,9,Bank_92,Switzerland,3 or more
Switzerland,2429788.0,Property Purchase,2023-06-11 20:00:00,Person_8910,Casinos,Switzerland,False,Illegal,8,1,Bank_329,Panama,Less than 3
USA,3230934.0,Cryptocurrency,2023-06-11 21:00:00,Person_8832,Casinos,China,False,Illegal,8,8,Bank_491,Bahamas,3 or more
Switzerland,4619362.0,Cryptocurrency,2023-06-11 22:00:00,Person_3702,Casinos,UAE,True,Illegal,6,3,Bank_244,Cayman Islands,3 or more
South Africa,4826268.0,Cash Withdrawal,2023-06-11 23:00:00,Person_4232,Finance,Singapore,True,Illegal,8,4,Bank_152,Panama,3 or more
China,3529963.0,Property Purchase,2023-06-12 00:00:00,Person_6499,Real Estate,UK,True,Illegal,3,2,Bank_361,Cayman Islands,Less than 3
Singapore,4913124.0,Property Purchase,2023-06-12 01:00:00,Person_5017,Oil & Gas,China,False,Illegal,4,9,Bank_386,Singapore,3 or more
Singapore,2920032.0,Cryptocurrency,2023-06-12 02:00:00,Person_2403,Finance,UAE,False,Illegal,8,5,Bank_144,Bahamas,3 or more
Brazil,2848387.0,Cash Withdrawal,2023-06-12 03:00:00,Person_3344,Luxury Goods,UK,False,Illegal,6,4,Bank_393,Panama,3 or more
Brazil,1649714.0,Cash Withdrawal,2023-06-12 04:00:00,Person_6810,Real Estate,China,True,Illegal,3,6,Bank_182,Luxembourg,3 or more
Brazil,68575.0,Stocks Transfer,2023-06-12 05:00:00,Person_3036,Luxury Goods,Switzerland,False,Legal,7,8,Bank_3,Panama,3 or more
India,2974441.0,Property Purchase,2023-06-12 06:00:00,Person_2133,Arms Trade,Russia,False,Legal,9,1,Bank_355,Cayman Islands,Less than 3
Brazil,354337.0,Offshore Transfer,2023-06-12 07:00:00,Person_347,Real Estate,UAE,False,Illegal,4,8,Bank_361,Panama,3 or more
UAE,1358741.0,Offshore Transfer,2023-06-12 08:00:00,Person_7550,Finance,Singapore,True,Illegal,8,4,Bank_290,Switzerland,3 or more
India,1001194.0,Cryptocurrency,2023-06-12 09:00:00,Person_4369,Arms Trade,China,False,Illegal,4,7,Bank_130,Panama,3 or more
India,1428493.0,Offshore Transfer,2023-06-12 10:00:00,Person_8139,Real Estate,India,False,Illegal,5,3,Bank_100,Cayman Islands,3 or more
South Africa,3377290.0,Cash Withdrawal,2023-06-12 11:00:00,Person_9462,Finance,China,False,Illegal,5,1,Bank_225,Luxembourg,Less than 3
Brazil,1327610.0,Offshore Transfer,2023-06-12 12:00:00,Person_6452,Finance,India,False,Illegal,3,7,Bank_307,Cayman Islands,3 or more
Russia,63309.0,Cryptocurrency,2023-06-12 13:00:00,Person_4179,Construction,India,False,Illegal,1,4,Bank_104,Singapore,3 or more
UK,1614167.0,Property Purchase,2023-06-12 14:00:00,Person_2758,Real Estate,China,False,Illegal,4,0,Bank_42,Bahamas,Less than 3
UK,2071789.0,Stocks Transfer,2023-06-12 15:00:00,Person_9479,Luxury Goods,South Africa,False,Illegal,10,1,Bank_27,Bahamas,Less than 3
India,4987425.0,Property Purchase,2023-06-12 16:00:00,Person_2537,Finance,Russia,False,Legal,2,2,Bank_322,Cayman Islands,Less than 3
Switzerland,2819810.0,Cash Withdrawal,2023-06-12 17:00:00,Person_5315,Construction,India,False,Illegal,4,8,Bank_196,Panama,3 or more
Singapore,840941.0,Property Purchase,2023-06-12 18:00:00,Person_515,Finance,USA,False,Legal,8,9,Bank_436,Switzerland,3 or more
Brazil,2119726.0,Stocks Transfer,2023-06-12 19:00:00,Person_913,Arms Trade,UK,False,Legal,3,5,Bank_214,Bahamas,3 or more
India,2440158.0,Cash Withdrawal,2023-06-12 20:00:00,Person_9244,Arms Trade,Russia,False,Illegal,8,3,Bank_345,Luxembourg,3 or more
Singapore,4567780.0,Stocks Transfer,2023-06-12 21:00:00,Person_7305,Construction,India,False,Illegal,2,0,Bank_176,Luxembourg,Less than 3
Russia,368869.0,Property Purchase,2023-06-12 22:00:00,Person_5130,Finance,Singapore,False,Legal,9,4,Bank_311,Singapore,3 or more
Switzerland,4881551.0,Stocks Transfer,2023-06-12 23:00:00,Person_500,Oil & Gas,South Africa,False,Illegal,3,7,Bank_143,Bahamas,3 or more
Brazil,652715.0,Offshore Transfer,2023-06-13 00:00:00,Person_1095,Luxury Goods,China,False,Legal,2,4,Bank_322,Panama,3 or more
China,1964887.0,Cash Withdrawal,2023-06-13 01:00:00,Person_2887,Luxury Goods,India,False,Legal,3,1,Bank_266,Switzerland,Less than 3
Singapore,1308533.0,Offshore Transfer,2023-06-13 02:00:00,Person_451,Arms Trade,South Africa,False,Legal,6,5,Bank_258,Panama,3 or more
UAE,3367778.0,Cryptocurrency,2023-06-13 03:00:00,Person_3569,Casinos,Switzerland,False,Illegal,9,1,Bank_188,Luxembourg,Less than 3
Brazil,2945869.0,Stocks Transfer,2023-06-13 04:00:00,Person_8593,Luxury Goods,Switzerland,False,Illegal,1,1,Bank_161,Bahamas,Less than 3
Switzerland,4991393.0,Cash Withdrawal,2023-06-13 05:00:00,Person_5476,Luxury Goods,Brazil,False,Illegal,2,1,Bank_471,Bahamas,Less than 3
Switzerland,3590543.0,Cash Withdrawal,2023-06-13 06:00:00,Person_3743,Arms Trade,UK,False,Illegal,1,9,Bank_338,Panama,3 or more
Russia,3618216.0,Cash Withdrawal,2023-06-13 07:00:00,Person_7511,Real Estate,UAE,False,Legal,10,4,Bank_365,Luxembourg,3 or more
China,2287684.0,Offshore Transfer,2023-06-13 08:00:00,Person_5654,Oil & Gas,India,False,Legal,8,8,Bank_420,Bahamas,3 or more
South Africa,2020370.0,Stocks Transfer,2023-06-13 09:00:00,Person_5468,Arms Trade,Brazil,False,Legal,7,9,Bank_266,Luxembourg,3 or more
China,2624726.0,Property Purchase,2023-06-13 10:00:00,Person_6955,Luxury Goods,India,True,Legal,1,9,Bank_52,Bahamas,3 or more
India,4087828.0,Cash Withdrawal,2023-06-13 11:00:00,Person_6521,Casinos,India,False,Illegal,4,3,Bank_65,Singapore,3 or more
UAE,367190.0,Property Purchase,2023-06-13 12:00:00,Person_8154,Construction,Brazil,False,Illegal,5,5,Bank_268,Singapore,3 or more
China,1707738.0,Property Purchase,2023-06-13 13:00:00,Person_6418,Luxury Goods,China,False,Illegal,2,8,Bank_345,Singapore,3 or more
UAE,1307075.0,Stocks Transfer,2023-06-13 14:00:00,Person_2203,Luxury Goods,Singapore,False,Legal,4,6,Bank_174,Panama,3 or more
Switzerland,833453.0,Offshore Transfer,2023-06-13 15:00:00,Person_4938,Real Estate,UAE,False,Legal,3,9,Bank_138,Singapore,3 or more
Russia,4151351.0,Cash Withdrawal,2023-06-13 16:00:00,Person_5454,Casinos,Singapore,False,Illegal,8,7,Bank_121,Panama,3 or more
Switzerland,2993096.0,Stocks Transfer,2023-06-13 17:00:00,Person_5713,Construction,Switzerland,False,Legal,4,9,Bank_151,Luxembourg,3 or more
Russia,785527.0,Cash Withdrawal,2023-06-13 18:00:00,Person_1192,Real Estate,USA,False,Illegal,9,7,Bank_254,Switzerland,3 or more
Singapore,1131330.0,Cryptocurrency,2023-06-13 19:00:00,Person_7696,Finance,Switzerland,True,Illegal,10,1,Bank_499,Cayman Islands,Less than 3
India,1758233.0,Property Purchase,2023-06-13 20:00:00,Person_2976,Construction,UK,False,Illegal,7,0,Bank_474,Cayman Islands,Less than 3
UAE,2837362.0,Stocks Transfer,2023-06-13 21:00:00,Person_6612,Arms Trade,India,False,Illegal,2,5,Bank_77,Luxembourg,3 or more
Singapore,3521020.0,Cryptocurrency,2023-06-13 22:00:00,Person_478,Luxury Goods,Russia,True,Illegal,6,4,Bank_354,Panama,3 or more
South Africa,921719.0,Cryptocurrency,2023-06-13 23:00:00,Person_2727,Casinos,UAE,True,Illegal,2,8,Bank_402,Switzerland,3 or more
UK,1793409.0,Property Purchase,2023-06-14 00:00:00,Person_4608,Casinos,Russia,False,Illegal,5,5,Bank_317,Cayman Islands,3 or more
Switzerland,1765444.0,Offshore Transfer,2023-06-14 01:00:00,Person_6641,Finance,UK,False,Illegal,4,1,Bank_395,Luxembourg,Less than 3
Brazil,1344883.0,Cryptocurrency,2023-06-14 02:00:00,Person_6715,Real Estate,Singapore,False,Illegal,8,7,Bank_304,Switzerland,3 or more
China,2926828.0,Cryptocurrency,2023-06-14 03:00:00,Person_2605,Arms Trade,USA,True,Illegal,8,0,Bank_38,Panama,Less than 3
UAE,1786469.0,Property Purchase,2023-06-14 04:00:00,Person_3518,Finance,South Africa,False,Legal,9,6,Bank_417,Bahamas,3 or more
Brazil,4705340.0,Stocks Transfer,2023-06-14 05:00:00,Person_8813,Arms Trade,Russia,False,Illegal,5,0,Bank_403,Panama,Less than 3
South Africa,3766433.0,Stocks Transfer,2023-06-14 06:00:00,Person_3856,Finance,South Africa,True,Illegal,7,6,Bank_445,Singapore,3 or more
USA,1753200.0,Cash Withdrawal,2023-06-14 07:00:00,Person_2330,Finance,China,True,Illegal,6,6,Bank_487,Luxembourg,3 or more
Russia,3996065.0,Property Purchase,2023-06-14 08:00:00,Person_4931,Oil & Gas,UAE,False,Illegal,4,5,Bank_94,Cayman Islands,3 or more
USA,2411979.0,Offshore Transfer,2023-06-14 09:00:00,Person_5611,Oil & Gas,Singapore,False,Legal,9,1,Bank_164,Singapore,Less than 3
South Africa,2688732.0,Property Purchase,2023-06-14 10:00:00,Person_2225,Oil & Gas,India,False,Illegal,7,8,Bank_491,Switzerland,3 or more
South Africa,3380243.0,Offshore Transfer,2023-06-14 11:00:00,Person_2900,Luxury Goods,South Africa,False,Legal,3,6,Bank_412,Panama,3 or more
UAE,1198882.0,Offshore Transfer,2023-06-14 12:00:00,Person_6850,Oil & Gas,Switzerland,False,Legal,2,6,Bank_86,Bahamas,3 or more
USA,2700327.0,Cryptocurrency,2023-06-14 13:00:00,Person_9249,Finance,UAE,False,Illegal,6,1,Bank_83,Luxembourg,Less than 3
UAE,1180052.0,Cash Withdrawal,2023-06-14 14:00:00,Person_5141,Casinos,South Africa,False,Illegal,5,4,Bank_327,Panama,3 or more
India,2690517.0,Offshore Transfer,2023-06-14 15:00:00,Person_2185,Casinos,South Africa,False,Illegal,4,2,Bank_188,Luxembourg,Less than 3
UAE,1255710.0,Cash Withdrawal,2023-06-14 16:00:00,Person_3858,Arms Trade,South Africa,True,Illegal,4,6,Bank_231,Switzerland,3 or more
UK,3237568.0,Cryptocurrency,2023-06-14 17:00:00,Person_9502,Arms Trade,UAE,False,Illegal,9,7,Bank_64,Singapore,3 or more
Switzerland,4373707.0,Offshore Transfer,2023-06-14 18:00:00,Person_4911,Construction,UK,False,Illegal,6,0,Bank_113,Panama,Less than 3
